# RAD2POP version 1.0 generated on 2020-03-04 11:04:27
Sample ID	Parameters	Number of Loci 	Number of Polymorphic Loci 	Number of SNPs 
CTGA12337.fastq	M2_m3	112406	6477	10825
CTGA15742.fastq	M2_m3	26181	1144	1601
Pbloc03.fastq	M2_m3	105753	5932	9794
Pcry01.fastq	M2_m3	360476	20484	36185
Pcry02.fastq	M2_m3	104612	6668	10854
Pcry04.fastq	M2_m3	130169	6927	11847
Pcry05.fastq	M2_m3	100608	5377	8828
Pcry06.fastq	M2_m3	122667	6496	11055
Pcry07.fastq	M2_m3	71452	3745	5698
Pg1015.fastq	M2_m3	98837	6387	10136
Pg1170.fastq	M2_m3	352873	20225	35350
Pg571.fastq	M2_m3	78249	5046	7798
PgaC02.fastq	M2_m3	111379	7089	11425
PgaC03.fastq	M2_m3	229390	13608	24013
Pim002.fastq	M2_m3	167350	9763	16641
Pim003.fastq	M2_m3	232026	12887	22850
Pim004.fastq	M2_m3	227828	12828	22578
Py14.fastq	M2_m3	102841	6607	10629
Py15.fastq	M2_m3	137638	8775	14675
FGXCONTROL.fastq	M2_m3	1331	70	98
