# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pcry01_Pgrosskopfii1	21	1.00000	0.00000	0.00000	0.94945	0.02274	0.00477	0.10110	0.09097	0.00954	0.89890	0.09097	0.00954	0.05055	0.02274	0.00477	0.94945	0.02274	0.00477	0.10110	0.09097	0.00954	0.00000	0.00000	0.00000
Pcry02_Pgrosskopfii2	17	1.00000	0.00000	0.00000	0.95646	0.01990	0.00446	0.08709	0.07958	0.00893	0.91291	0.07958	0.00893	0.04354	0.01990	0.00446	0.95646	0.01990	0.00446	0.08709	0.07958	0.00893	0.00000	0.00000	0.00000
Pcry04_Pcrypticus1	14	1.00000	0.00000	0.00000	0.96246	0.01738	0.00417	0.07508	0.06951	0.00834	0.92492	0.06951	0.00834	0.03754	0.01738	0.00417	0.96246	0.01738	0.00417	0.07508	0.06951	0.00834	0.00000	0.00000	0.00000
Pcry05_Pcrypticus2	16	1.00000	0.00000	0.00000	0.96296	0.01716	0.00415	0.07407	0.06866	0.00829	0.92593	0.06866	0.00829	0.03704	0.01716	0.00415	0.96296	0.01716	0.00415	0.07407	0.06866	0.00829	0.00000	0.00000	0.00000
Pcry07_Pcrypticus3	12	1.00000	0.00000	0.00000	0.96647	0.01566	0.00396	0.06707	0.06263	0.00792	0.93293	0.06263	0.00792	0.03353	0.01566	0.00396	0.96647	0.01566	0.00396	0.06707	0.06263	0.00792	0.00000	0.00000	0.00000
Pcry06_Pcrypticus4	17	1.00000	0.00000	0.00000	0.96496	0.01631	0.00404	0.07007	0.06523	0.00808	0.92993	0.06523	0.00808	0.03504	0.01631	0.00404	0.96496	0.01631	0.00404	0.07007	0.06523	0.00808	0.00000	0.00000	0.00000
Pg1015_Pgrosskopfii3	16	1.00000	0.00000	0.00000	0.95896	0.01886	0.00434	0.08208	0.07542	0.00869	0.91792	0.07542	0.00869	0.04104	0.01886	0.00434	0.95896	0.01886	0.00434	0.08208	0.07542	0.00869	0.00000	0.00000	0.00000
Pg1170_Pyuma1	51	1.00000	0.00000	0.00000	0.92893	0.03051	0.00553	0.14214	0.12206	0.01105	0.85786	0.12206	0.01105	0.07107	0.03051	0.00553	0.92893	0.03051	0.00553	0.14214	0.12206	0.01105	0.00000	0.00000	0.00000
Pg571_Pgrosskopfii4	15	1.00000	0.00000	0.00000	0.96296	0.01716	0.00415	0.07407	0.06866	0.00829	0.92593	0.06866	0.00829	0.03704	0.01716	0.00415	0.96296	0.01716	0.00415	0.07407	0.06866	0.00829	0.00000	0.00000	0.00000
PgaC02_Pgrosskopfii5	17	1.00000	0.00000	0.00000	0.95846	0.01906	0.00437	0.08308	0.07626	0.00874	0.91692	0.07626	0.00874	0.04154	0.01906	0.00437	0.95846	0.01906	0.00437	0.08308	0.07626	0.00874	0.00000	0.00000	0.00000
PgaC03_Pgrosskopfii6	9	1.00000	0.00000	0.00000	0.95145	0.02194	0.00469	0.09710	0.08776	0.00937	0.90290	0.08776	0.00937	0.04855	0.02194	0.00469	0.95145	0.02194	0.00469	0.09710	0.08776	0.00937	0.00000	0.00000	0.00000
Py14_Pyuma2	36	1.00000	0.00000	0.00000	0.94945	0.02274	0.00477	0.10110	0.09097	0.00954	0.89890	0.09097	0.00954	0.05055	0.02274	0.00477	0.94945	0.02274	0.00477	0.10110	0.09097	0.00954	0.00000	0.00000	0.00000
Py15_Pyuma3	37	1.00000	0.00000	0.00000	0.94845	0.02314	0.00481	0.10310	0.09257	0.00963	0.89690	0.09257	0.00963	0.05155	0.02314	0.00481	0.94845	0.02314	0.00481	0.10310	0.09257	0.00963	0.00000	0.00000	0.00000
Pim002_Ppictus1	28	1.00000	0.00000	0.00000	0.95295	0.02133	0.00462	0.09409	0.08533	0.00924	0.90591	0.08533	0.00924	0.04705	0.02133	0.00462	0.95295	0.02133	0.00462	0.09409	0.08533	0.00924	0.00000	0.00000	0.00000
Pim003_Ppictus2	21	1.00000	0.00000	0.00000	0.95395	0.02092	0.00458	0.09209	0.08369	0.00915	0.90791	0.08369	0.00915	0.04605	0.02092	0.00458	0.95395	0.02092	0.00458	0.09209	0.08369	0.00915	0.00000	0.00000	0.00000
Pim004_Ppictus3	21	1.00000	0.00000	0.00000	0.95245	0.02153	0.00464	0.09510	0.08614	0.00929	0.90490	0.08614	0.00929	0.04755	0.02153	0.00464	0.95245	0.02153	0.00464	0.09510	0.08614	0.00929	0.00000	0.00000	0.00000
Pbloc03_Pblochii1	28	1.00000	0.00000	0.00000	0.95395	0.02092	0.00458	0.09209	0.08369	0.00915	0.90791	0.08369	0.00915	0.04605	0.02092	0.00458	0.95395	0.02092	0.00458	0.09209	0.08369	0.00915	0.00000	0.00000	0.00000
CTGA15742_Pblochii2	21	1.00000	0.00000	0.00000	0.97748	0.01076	0.00328	0.04505	0.04306	0.00657	0.95495	0.04306	0.00657	0.02252	0.01076	0.00328	0.97748	0.01076	0.00328	0.04505	0.04306	0.00657	0.00000	0.00000	0.00000
CTGA12337_Pblochii3	25	1.00000	0.00000	0.00000	0.95395	0.02092	0.00458	0.09209	0.08369	0.00915	0.90791	0.08369	0.00915	0.04605	0.02092	0.00458	0.95395	0.02092	0.00458	0.09209	0.08369	0.00915	0.00000	0.00000	0.00000
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pcry01_Pgrosskopfii1	21	420654	999	101	0.02401	1.00000	0.00000	0.00000	0.99988	0.00006	0.00001	0.00024	0.00024	0.00002	0.99976	0.00024	0.00002	0.00012	0.00006	0.00001	0.99988	0.00006	0.00001	0.00024	0.00024	0.00002	0.00000	0.00000	0.00000
Pcry02_Pgrosskopfii2	17	420654	999	87	0.02068	1.00000	0.00000	0.00000	0.99990	0.00005	0.00001	0.00021	0.00021	0.00002	0.99979	0.00021	0.00002	0.00010	0.00005	0.00001	0.99990	0.00005	0.00001	0.00021	0.00021	0.00002	0.00000	0.00000	0.00000
Pcry04_Pcrypticus1	14	420654	999	75	0.01783	1.00000	0.00000	0.00000	0.99991	0.00004	0.00001	0.00018	0.00018	0.00002	0.99982	0.00018	0.00002	0.00009	0.00004	0.00001	0.99991	0.00004	0.00001	0.00018	0.00018	0.00002	0.00000	0.00000	0.00000
Pcry05_Pcrypticus2	16	420654	999	74	0.01759	1.00000	0.00000	0.00000	0.99991	0.00004	0.00001	0.00018	0.00018	0.00002	0.99982	0.00018	0.00002	0.00009	0.00004	0.00001	0.99991	0.00004	0.00001	0.00018	0.00018	0.00002	0.00000	0.00000	0.00000
Pcry07_Pcrypticus3	12	420654	999	67	0.01593	1.00000	0.00000	0.00000	0.99992	0.00004	0.00001	0.00016	0.00016	0.00002	0.99984	0.00016	0.00002	0.00008	0.00004	0.00001	0.99992	0.00004	0.00001	0.00016	0.00016	0.00002	0.00000	0.00000	0.00000
Pcry06_Pcrypticus4	17	420654	999	70	0.01664	1.00000	0.00000	0.00000	0.99992	0.00004	0.00001	0.00017	0.00017	0.00002	0.99983	0.00017	0.00002	0.00008	0.00004	0.00001	0.99992	0.00004	0.00001	0.00017	0.00017	0.00002	0.00000	0.00000	0.00000
Pg1015_Pgrosskopfii3	16	420654	999	82	0.01949	1.00000	0.00000	0.00000	0.99990	0.00005	0.00001	0.00019	0.00019	0.00002	0.99981	0.00019	0.00002	0.00010	0.00005	0.00001	0.99990	0.00005	0.00001	0.00019	0.00019	0.00002	0.00000	0.00000	0.00000
Pg1170_Pyuma1	51	420654	999	142	0.03376	1.00000	0.00000	0.00000	0.99983	0.00008	0.00001	0.00034	0.00034	0.00003	0.99966	0.00034	0.00003	0.00017	0.00008	0.00001	0.99983	0.00008	0.00001	0.00034	0.00034	0.00003	0.00000	0.00000	0.00000
Pg571_Pgrosskopfii4	15	420654	999	74	0.01759	1.00000	0.00000	0.00000	0.99991	0.00004	0.00001	0.00018	0.00018	0.00002	0.99982	0.00018	0.00002	0.00009	0.00004	0.00001	0.99991	0.00004	0.00001	0.00018	0.00018	0.00002	0.00000	0.00000	0.00000
PgaC02_Pgrosskopfii5	17	420654	999	83	0.01973	1.00000	0.00000	0.00000	0.99990	0.00005	0.00001	0.00020	0.00020	0.00002	0.99980	0.00020	0.00002	0.00010	0.00005	0.00001	0.99990	0.00005	0.00001	0.00020	0.00020	0.00002	0.00000	0.00000	0.00000
PgaC03_Pgrosskopfii6	9	420654	999	97	0.02306	1.00000	0.00000	0.00000	0.99988	0.00006	0.00001	0.00023	0.00023	0.00002	0.99977	0.00023	0.00002	0.00012	0.00006	0.00001	0.99988	0.00006	0.00001	0.00023	0.00023	0.00002	0.00000	0.00000	0.00000
Py14_Pyuma2	36	420654	999	101	0.02401	1.00000	0.00000	0.00000	0.99988	0.00006	0.00001	0.00024	0.00024	0.00002	0.99976	0.00024	0.00002	0.00012	0.00006	0.00001	0.99988	0.00006	0.00001	0.00024	0.00024	0.00002	0.00000	0.00000	0.00000
Py15_Pyuma3	37	420654	999	103	0.02449	1.00000	0.00000	0.00000	0.99988	0.00006	0.00001	0.00024	0.00024	0.00002	0.99976	0.00024	0.00002	0.00012	0.00006	0.00001	0.99988	0.00006	0.00001	0.00024	0.00024	0.00002	0.00000	0.00000	0.00000
Pim002_Ppictus1	28	420654	999	94	0.02235	1.00000	0.00000	0.00000	0.99989	0.00006	0.00001	0.00022	0.00022	0.00002	0.99978	0.00022	0.00002	0.00011	0.00006	0.00001	0.99989	0.00006	0.00001	0.00022	0.00022	0.00002	0.00000	0.00000	0.00000
Pim003_Ppictus2	21	420654	999	92	0.02187	1.00000	0.00000	0.00000	0.99989	0.00005	0.00001	0.00022	0.00022	0.00002	0.99978	0.00022	0.00002	0.00011	0.00005	0.00001	0.99989	0.00005	0.00001	0.00022	0.00022	0.00002	0.00000	0.00000	0.00000
Pim004_Ppictus3	21	420654	999	95	0.02258	1.00000	0.00000	0.00000	0.99989	0.00006	0.00001	0.00023	0.00023	0.00002	0.99977	0.00023	0.00002	0.00011	0.00006	0.00001	0.99989	0.00006	0.00001	0.00023	0.00023	0.00002	0.00000	0.00000	0.00000
Pbloc03_Pblochii1	28	420654	999	92	0.02187	1.00000	0.00000	0.00000	0.99989	0.00005	0.00001	0.00022	0.00022	0.00002	0.99978	0.00022	0.00002	0.00011	0.00005	0.00001	0.99989	0.00005	0.00001	0.00022	0.00022	0.00002	0.00000	0.00000	0.00000
CTGA15742_Pblochii2	21	420654	999	45	0.01070	1.00000	0.00000	0.00000	0.99995	0.00003	0.00001	0.00011	0.00011	0.00002	0.99989	0.00011	0.00002	0.00005	0.00003	0.00001	0.99995	0.00003	0.00001	0.00011	0.00011	0.00002	0.00000	0.00000	0.00000
CTGA12337_Pblochii3	25	420654	999	92	0.02187	1.00000	0.00000	0.00000	0.99989	0.00005	0.00001	0.00022	0.00022	0.00002	0.99978	0.00022	0.00002	0.00011	0.00005	0.00001	0.99989	0.00005	0.00001	0.00022	0.00022	0.00002	0.00000	0.00000	0.00000
